Id,SalePrice
2,129063.15673007465
4,267849.0683752076
6,183430.41538392194
7,202958.3496916013
17,210946.4062922431
18,365321.15079232183
22,180332.52289303063
27,116307.21431819463
31,98134.07791785257
36,135470.9781642956
39,371198.50797970063
40,256466.62511574832
42,337194.0311317962
46,208491.81286136498
53,172111.89490265324
58,159455.78801617833
61,348608.341134279
72,223589.98653493306
79,119311.31648254041
80,207091.067360073
82,162213.7260394812
83,105171.82493605278
85,140854.71825177153
88,117011.2334040734
92,292818.0146526758
93,290900.99294744036
95,180441.96972630106
102,200716.94823647532
103,155833.4384237773
106,241723.68942502234
107,131492.6987986386
110,224758.3612256348
114,203387.81338307782
116,169623.14762085903
117,157475.86690871516
118,135842.53930722846
125,151891.04579258655
126,146070.254606207
127,133348.7616648206
128,178967.7298618254
134,140436.03301777126
135,158308.90142273746
137,248601.29272744307
143,133596.8903914772
147,130737.1520563371
148,171226.678735954
150,122026.24618937018
156,135524.9163945342
157,121694.8526626737
159,139844.8689025538
161,271792.8989942798
167,138163.01610854085
170,124010.47724180775
171,103264.01017141566
175,97077.0048487971
179,122966.56167311725
181,113024.70827458473
186,208640.6402190231
193,196747.85701467807
194,74179.39339363259
206,120706.81511299725
208,143570.39336033573
210,165123.97673707048
211,109752.74999812448
212,116272.64556589106
214,103975.46926832045
215,138545.78695827574
217,129511.49894919977
222,137832.05455200968
227,150563.48727762586
228,154255.3871201795
233,246223.3285000779
235,105001.96862150401
238,125168.313782196
241,171480.86947689677
252,197455.4140308537
253,186689.31715963507
256,140339.8835418048
257,141838.30612529998
258,188235.99173547523
259,181862.874663922
261,152266.43956341431
263,125665.53719862123
266,215597.85867660432
267,232023.17752698303
270,134899.29394003702
271,246702.17645485845
276,124759.04630201803
285,147766.16483154075
288,75513.58703841708
289,134204.2504640214
290,118743.36381270022
291,126643.59607925135
292,146685.0268223432
293,199626.97330450415
294,233423.9524559236
295,164081.69160167396
304,110049.27179852457
322,382525.90566398005
326,172011.18099356096
327,109075.99853558392
328,111467.54669306891
331,74252.28910352706
332,84389.76341319337
333,81002.75636709729
335,148788.60670384596
337,174082.25330318534
342,141605.69743477853
343,169921.4205016241
347,168695.4933341691
350,360420.79290305986
352,198984.3037952219
358,172638.81570994167
359,174587.00955524336
360,168306.34677219501
368,342614.5398372316
369,240537.57740352472
373,182389.43511402886
377,257695.1887171871
383,180147.8020359783
386,242349.10322883877
387,233048.71782809822
390,166508.669783045
391,168289.3660890778
395,147196.13113175894
397,139495.67733494838
398,113779.26970335937
401,121790.18340666837
404,113401.95331160136
408,105501.5100693255
409,136109.48718794214
410,137444.35460269294
418,115042.92985898016
422,439856.98723991704
427,403466.0722705919
431,412909.5431844335
433,490407.700896435
437,369140.44640007254
438,306681.3162388217
442,366910.31985649164
447,218153.96280956702
459,350866.8521224081
460,292390.73256451765
464,170299.38670298163
465,191097.18103170884
467,196734.99473278644
468,194518.6465305126
474,167722.37379533527
480,203003.28950253798
481,197376.6942590038
483,203109.76735655102
488,183841.9340782419
492,195386.79915463334
494,158261.14367996473
499,334633.0584527813
500,305114.254612143
501,317546.7782864986
503,244229.9680893465
506,254878.50944442488
508,268864.75927544094
511,278923.4381122852
515,220395.08339198632
519,214131.29024621611
521,281944.9551109795
530,242551.85421516994
532,219295.59333663783
534,195649.47724208896
540,192295.11940290808
541,152057.68147253428
551,155779.40421600148
552,156196.38500806424
554,108923.86238694162
555,124631.21483341279
556,123698.06465404827
557,135806.83599040942
565,224400.67451568943
566,302837.9471751602
567,149964.85341447865
569,220814.59873985423
570,182753.4707390515
574,215767.49246971446
575,284879.4868581795
576,189774.65453331452
577,224988.56993633637
578,226901.9561092609
583,209049.16348567436
584,217131.9348686587
585,160277.23421776344
587,208383.32827395713
593,210314.15384433896
597,200006.88554936115
598,179095.7507796269
599,160796.8859530345
600,114461.43646175484
605,160769.8439145163
607,157826.73973095158
608,148502.95766895683
611,167053.22206463397
616,122746.13283287069
625,173996.77752296295
629,160437.44791537005
630,131854.9981210783
631,131602.1922392116
640,170686.6444470082
642,174283.6650425199
643,139405.96272292727
646,116799.38314627137
647,151310.32028657594
655,87240.80453043779
659,107686.07863902862
663,73975.5986488208
665,105439.9776129519
667,198152.66415567487
673,131858.80082938678
676,136874.61460647834
680,148509.96423322693
682,129497.09923535204
687,144904.7244835877
688,157511.29986250948
692,111902.25342513711
693,110093.63849982971
695,156086.8928135683
697,128814.37598489254
700,146899.08981353178
702,149817.26111927716
703,137214.6570834043
704,118046.12651463925
712,93658.27438460308
713,98275.11726791416
717,246957.36144056602
720,206449.4670050028
721,86013.0783173621
726,155510.90917355573
733,113974.02399708226
736,123349.85773734935
738,106905.07284474271
741,119596.10438792608
743,50349.58213631068
745,104748.8139884093
750,146563.28106189493
756,95925.88223370997
757,134168.66580614634
758,146082.55601371103
760,89992.88294805678
765,142869.54051223502
775,127374.24784742328
776,124616.9718682007
780,165883.67497919642
783,214516.00363072648
790,121172.3725026956
795,98234.63351938404
796,134473.89058221385
797,145638.12995038045
798,122719.80054506923
804,211840.57698427635
805,232623.52494094893
806,255718.3896323433
808,120524.2551071173
814,162413.7103671861
818,280080.5329733122
821,301593.7493772456
822,334054.1713761316
825,269029.1700591646
827,233752.1279452717
830,187951.89986931262
834,245386.36218274158
835,175950.58345718958
842,137841.70182814822
845,203956.5211280621
852,220008.57579753612
857,126853.05544012904
858,148678.1626333103
859,142248.49534648855
860,125536.41710319847
861,118859.5510976633
864,255317.50062566355
868,197142.23112199007
869,209889.9736137017
872,278180.2272572076
873,214598.1590256064
885,110901.3145411261
890,120863.46786016598
895,97517.333178024
899,79013.55871553486
906,121193.72005554484
918,139814.76549778288
923,141543.55886009755
925,124752.95043340133
927,134015.06601566458
932,163968.07864145152
933,96659.46814825425
934,110344.81119348675
942,99059.8675475835
947,264947.4423389819
948,280333.2191398169
951,139862.48176714813
957,197442.60992949893
958,328386.15065334144
959,214411.48010724387
963,191793.65401791866
967,224422.14874620462
